frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
9,SCSR,2/1/16,4:40 PM,1,27,RBW,5,0,RBW,R,,L/H,NA,,,,,,,,,,,,0,,
,,,,,,,,,GB,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RW,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,W/AB,,,,,,,,,,,,,,,
,,,,,,,,,GBW,G,,W ,,,,,,,,,,,,,,,
9,SCSR,2/4/16,5:40 PM,2,7,GBG,5,0,GBG,R,,AB,NA,,,, -GBG,,,,G,,,NA,1,,
,,,,,,,,,RYW,G,TP-R,L ,,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RYR,G,,AN/H,,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,AN ,,,,,,,,,,,,,,,
9,SCSR,2/5/16,1:55 PM,3,168,RBl,6,0,RBl,G,,L,NA,,,, -RYB,,,,,,,,0,,
,,,,,,,,,GBG,G,,L,,,,, -RYG,,,,,,,,,,
,,,,,,,,,GBR,G,TP-DOWN,H,,,,, -GBG,,,,,,,,,,
,,,,,,,,,RB,G,TP-G,L,,,,,,,,,,,,,,,
,,,,,,,,,GG,R,TP-R,W,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,L,,,,,,,,,,,,,,,
9,SCSR,2/8/16,12:45 PM,4,80,RBW,3,0,RBW,R,TP-R,AN/H,NA,,,,,,,,,,,,0,,
,,,,,,,,,RYG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RY,G,,L,,,,,,,,,,,,,,,
9,SCSR,2/9/16,1:21 PM,5,4,GBG,2,0,GBG,UP,,L,NA,,,, -GBG,UP,,,R,,,NA,3,,
,,,,,,,,,RBW,G,TP-R,AN/ H,,,,,,,,,,,,,,,
9,SCSR,2/10/16,11:47 PM,6,13,RBW,9,0,RBW,R,sting - L,AB,NA,,,, -RBW,,,, -,,,,0,,
,,,,,,,,,GY ,G,,H,,,,, -GG,,,,,,,,,,
,,,,,,,,,GG,G,,L,,,,, +GG,,,,,,,,,,
,,,,,,,,,RYR,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBR,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYW,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBR,G,,T,,,,,,,,,,,,,,,
9,SCSR,2/15/16,11:45 AM,7,35,RYB,2,0,RYB,UP,TP-UP/WEB,L/H,1,RW,G,,,,,,UP,,,NA,4,,
,,,,,,,,,RB,G,,AB/W,,,,,,,,,,,,,,,
9,SCSR,2/16/16,11:10 AM,8,34,RBl,5,0,RBl,G,,L,4,RYR,G,, -GYG,,,,R,,,NA,2,,
,,,,,,,,,GYG,R,TP-R,L,,GYB,G,,,,,,,,,,,,
,,,,,,,,,GR,R,,W/AN,,GY,R,,,,,,,,,,,,
,,,,,,,,,GB,R,,L/W,,GBR,R,,,,,,,,,,,,
,,,,,,,,,RBR,G,,W,,,,,,,,,,,,,,,
9,SCSR,2/19/16,10:00 AM,9,17,GBG,6,0,GBG,UP,,H,5,GY,G,, -GBR,,WEB,,,,,,0,,
,,,,,,,,,UNMARKED,UP,,L,,GBR,G,, +GBR,,,W,,,,,,,
,,,,,,,,,RY,R,,L,,GYB,R,,,,,,,,,,,,
,,,,,,,,,GBR,G,,T,,RBG,G,,,,,,,,,,,,
,,,,,,,,,RBW,R,,L,,GYW,R,,,,,,,,,,,,
,,,,,,,,,RYG,,,,,,,,,,,,,,,,,,
9,SCSR,2/20/16,4:20 PM,10,130,GB,4,0,GB,G,,L,1,GYG,G,, -GB,,,,,,,,0,,
,,,,,,,,,RYW,G,TP-G,L,,,,, +GB,,,,,,,,,,
,,,,,,,,,RWBl,R,TP-R,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,T,,,,,,,,,,,,,,,
9,SCSR,2/22/16,12:30 PM,11,3,GY,4,0,GY,G,,T,3,RBl,R,, -GY,,WEB,,,,,,0,,
,,,,,,,,51,RYB,R,,L,,RBW,R,,,,,,,,,,,,
,,,,,,,,100,UNMARKED ,G,,L,,GYBl,G,,,,,,,,,,,,
,,,,,,,,185,GYG,R,,H,,,,,,,,,,,,,,,
9,SCSR,2/23/16,4:39 PM,12,47,RYG,2,0,RYG,G,TP-G,H,2,UNMARKED,R,, -RYW,,WEB,,,,,,0,,
,,,,,,,,,RYW,UP,WEB,L,,GYG,G,, +RYW,,TP-UP,T,,,,,,,
9,SCSR,2/25/16,11:54 AM,13,8,GYW,9,0,GYW,UP,,H,3,GYG,R,, -RBG,,,,,,,,0,,
,,,,,,,,,RYR,G,,L,,UNMARKED,R,, +RBG,,,,,,,,,,
,,,,,,,,,GB,,,T,,RBR,G,, -GR,,,,,,,,,,
,,,,,,,,,RY, ,,W,,,,, +GR,,,,,,,,,,
,,,,,,,,,GR,R,TP-DOWN,AB,,,,, -RBG,,,,,,,,,,
,,,,,,,,,GBR,R,TP-R,AB,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,TP-R,H,,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,AB,,,,,,,,,,,,,,,
9,SCSR,2/26/16,11:22 PM,14,4,UNMARKED,6,0,UNMARKED,UP,,AB/T,2,RB,G,WEB, - UNMARKED,,,,,,,,0,,
,,,,,,,,,UNMARKED,UP,,AN,,RBl,G,, -GYW,,WEB,,,,,,,,
,,,,,,,,,RYR,UP,,H,,,,, + UNMARKED,,,,,,,,,,
,,,,,,,,,GBR,G,,L,,,,, - UNMARKED,,,,,,,,,,
,,,,,,,,,GYW,G,,W,,,,, +GYW,,,AB,,,,,,,
,,,,,,,,,GYBl,G,TP-UP,H,,,,, -GYW,,,,,,,,,,
9,SCSR,2/27/16,10:20 AM,15,15,RYR,4,0,RYR,UP,,H,0,,,,,,,,,,,,0,,
,,,,,,,,,GR,UP,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,W,,,,,,,,,,,,,,,